"noun_id";"noun";"noun_count"
692;"adivinha";1
693;"soco";6
694;"carreta";2
695;"vias";1
696;"turistas";1
697;"embate";1
698;"rua";24
699;"bluray";1
700;"loveretrobtw";1
701;"bhnt";1
702;"media";9
703;"lidos";1
704;"linhas";3
705;"mushroom";1
706;"acidente";3
707;"luigi";1
708;"reino";2
709;"ameaca";5
710;"bowser";2
711;"animacao";28
712;"massa";14
713;"acao";88
714;"illumination";1
715;"castelhonebella";1
716;"lista";24
717;"transformers";1
718;"feras";2
719;"estilo";13
720;"guardioes";7
721;"megan";1
722;"avatar";4
723;"morte";14
724;"demonio";3
725;"sereia";13
726;"pokemon";4
727;"resident";3
728;"conclusoes";1
729;"pinanashc";1
730;"mia";4
731;"tempos";37
732;"panico";7
733;"dungeons";2
734;"flash";3
735;"euogaih";1
736;"banho";26
737;"nostalgia";6
738;"todayinsportsco";1
739;"notas";6
740;"service";2
741;"minuto";5
742;"cena";4
743;"referencia";8
744;"diversao";1
745;"comeco";16
746;"fim";59
747;"referencias";10
748;"aplicativo";16
749;"online";3
750;"jogos";58
751;"voces";20
752;"celular";29
753;"novidades";2
754;"bilheterias";7
755;"link";47
756;"goodnerd23";2
757;"conhecida";1
758;"icone";14
759;"maio";11
760;"prato";7
761;"nerdolas";1
762;"fabelmans";1
763;"ascensao";1
764;"shazam";1
765;"creed";2
766;"filmaco";1
767;"fenomeno";1
768;"lideranca";5
769;"therealdudja";3
770;"estreias";4
771;"klaythompson";1
772;"splash";1
773;"supermariomovie";1
774;"milhoes";4
775;"toy";2
776;"minions";3
777;"era";13
778;"gelo";6
779;"bilhao";4
780;"m";16
781;"boxreport";1
782;"balanca";2
783;"teias";1
784;"aranha";2
785;"atraves";5
786;"luisgangmd";1
787;"amp";4
788;"matbabiarz";1
789;"nes";2
790;"juanitosay";1
791;"jimsretroemp";8
792;"skpnft";1
793;"gizbrasil";1
794;"us";3
795;"paises";13
796;"evertroll";1
797;"variacoes";1
798;"peso";10
799;"plataforma";30
800;"fase";33
801;"nuvens";2
802;"cover";4
803;"musica";184
804;"canal";44
805;"sucessos";1
806;"grauens";1
807;"time";172
808;"zyo5753";1
809;"tbm";2
810;"supermariobros";8
811;"thesupermariobrosmovie";2
812;"the1980sgamer";6
813;"drive";14
814;"lancamentos";2
815;"grupo";45
816;"tags";4
817;"thread";20
818;"redor";6
819;"recorde";3
820;"star";2
821;"talent";4
822;"elenco";37
823;"normalidade";2
824;"domingo";43
